#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.935782E-03   0.189248E+06   0.189183E+06   0.245969E+06   0.245039E+06   0.000000E+00   0.189238E+06   0.189238E+06   0.198306E+06  -0.603302E+00   0.188379E+06   0.188361E+06   0.413391E+02
   0.103420E-02   0.189173E+06   0.189094E+06   0.244481E+06   0.243354E+06   0.000000E+00   0.189160E+06   0.189160E+06   0.198170E+06  -0.602873E+00   0.188303E+06   0.188281E+06   0.456636E+02
   0.114297E-02   0.189081E+06   0.188985E+06   0.242675E+06   0.241309E+06   0.000000E+00   0.189066E+06   0.189066E+06   0.198006E+06  -0.602350E+00   0.188211E+06   0.188184E+06   0.504349E+02
   0.126317E-02   0.188969E+06   0.188852E+06   0.240484E+06   0.238832E+06   0.000000E+00   0.188951E+06   0.188951E+06   0.197805E+06  -0.601713E+00   0.188099E+06   0.188065E+06   0.556973E+02
   0.139602E-02   0.188833E+06   0.188690E+06   0.237832E+06   0.235838E+06   0.000000E+00   0.188811E+06   0.188811E+06   0.197562E+06  -0.600939E+00   0.187961E+06   0.187921E+06   0.614985E+02
   0.154284E-02   0.188668E+06   0.188492E+06   0.234626E+06   0.232228E+06   0.000000E+00   0.188640E+06   0.188640E+06   0.197267E+06  -0.599999E+00   0.187794E+06   0.187745E+06   0.678904E+02
   0.170511E-02   0.188466E+06   0.188252E+06   0.230760E+06   0.227885E+06   0.000000E+00   0.188432E+06   0.188432E+06   0.196909E+06  -0.598860E+00   0.187591E+06   0.187530E+06   0.749283E+02
   0.188443E-02   0.188221E+06   0.187960E+06   0.226113E+06   0.222681E+06   0.000000E+00   0.188180E+06   0.188180E+06   0.196477E+06  -0.597480E+00   0.187343E+06   0.187269E+06   0.826714E+02
   0.208262E-02   0.187923E+06   0.187604E+06   0.220547E+06   0.216470E+06   0.000000E+00   0.187873E+06   0.187873E+06   0.195955E+06  -0.595811E+00   0.187042E+06   0.186952E+06   0.911820E+02
   0.230165E-02   0.187562E+06   0.187173E+06   0.213908E+06   0.209096E+06   0.000000E+00   0.187501E+06   0.187501E+06   0.195327E+06  -0.593800E+00   0.186676E+06   0.186566E+06   0.100525E+03
   0.254372E-02   0.187125E+06   0.186650E+06   0.206033E+06   0.200398E+06   0.000000E+00   0.187050E+06   0.187050E+06   0.194573E+06  -0.591380E+00   0.186232E+06   0.186098E+06   0.110768E+03
